term,definition,context,id,last_review,next_review,interval,repetitions,ease_factor,status
give on to,面向 / 通向,The French windows give on to a beautiful stone terrace.,,,,,,,
attend to,照料 / 专心于,The doctor had to attend to several patients at once.,,,,,,,
eke out,勉强维持 / 补充,They had to eke out their small savings until the end of the month.,,,,,,,
minute,微小的 / 详细的,The robot was capable of making minute adjustments to the lens.,,,,,,,
overhang,悬垂 / 悬于……之上,Large rocks overhang the narrow mountain road.,,,,,,,
infirmity,虚弱 / 疾病,In his old age,,,,,,,
crucifix,十字架 / 苦像,A large wooden crucifix hung on the wall of the chapel.,,,,,,,
assiduous,勤奋的 / 刻苦的,She was assiduous in her duties and never missed a day of work.,,,,,,,
industrious,勤劳的 / 努力的,The industrious students spent all weekend in the library.,,,,,,,
invalid,病人 / 残疾人,He spent the last years of his life as a bedridden invalid.,,,,,,,
fondle,爱抚 / 抚弄,She began to fondle the kitten behind its ears.,,,,,,,
endow … with …,赋予 / 天生具有,Nature has endowed her with a beautiful singing voice.,,,,,,,
affectation,做作 / 假装,I found his upper-class accent to be a bit of an affectation.,,,,,,,
pantomime,哑剧,The actors used pantomime to tell the story without words.,,,,,,,
courtship,求爱 / 追求,The book describes the long and traditional courtship of the couple.,,,,,,,
keep … company,陪伴某人,My dog stays by my side to keep me company when I'm lonely.,,,,,,,
rouse,唤醒 / 激起,The loud noise was enough to rouse the entire house.,,,,,,,
come to one’s relief,给予安慰 / 使人松一口气,The arrival of the rescue team came to their great relief.,,,,,,,
of yore,过去的 / 昔日的,In the days of yore,,,,,,,
take heart of grace,重新振作起来,He took heart of grace and decided to try one more time.,,,,,,,
allegory,寓言 / 象征,The story is a political allegory about the rise of a dictator.,,,,,,,
thereupon,随即 / 于是,He said goodbye and thereupon left the room.,,,,,,,
fret,使烦恼 / 焦急,Don't fret about the little things; focus on the big picture.,,,,,,,
flit,掠过 / 轻快地飞,Butterflies began to flit from flower to flower.,,,,,,,
protract,拖延 / 延长,The legal battle was protracted for several years.,,,,,,,
beckon,招手 / 召唤,The warm blue water seemed to beckon the tired travelers.,,,,,,,
vein,情绪 / 纹理 / 静脉,He continued the story in a much more serious vein.,,,,,,,
sympathy,同情 / 共鸣,I have a lot of sympathy for people who have lost their jobs.,,,,,,,
rejoice,因……而高兴 / 庆祝,Everyone rejoiced at the news of the victory.,,,,,,,
revere,尊敬 / 崇敬,The old teacher was revered by all his former students.,,,,,,,
requiem,安魂曲 / 挽歌,The orchestra performed a moving requiem for the late king.,,,,,,,
eat up,耗尽,The unexpected legal fees will eat up all our remaining budget.,,,,,,,
gracious,亲切优雅,The hostess was very gracious to all her guests despite the late hour.,,,,,,,
disabuse,消除错误的念头,I must disabuse you of the idea that this project will be easy.,,,,,,,
part company,分道扬镳,The two business partners parted company after a series of bitter arguments.,,,,,,,
no hard feelings,没有怨恨,We decided to cancel the contract,,,,,,,
overwork,使过度劳累,If you overwork yourself every day,,,,,,,
ego,自我 / 自负,He has a massive ego and finds it difficult to accept any criticism.,,,,,,,
monetise,将……变为利润,The company is looking for creative ways to monetise its website traffic.,,,,,,,
legitimate,合法的,The lawyer confirmed that it was a legitimate business expense.,,,,,,,
call upon,召唤 / 号召,The president called upon the citizens to help the disaster victims.,,,,,,,
circular,循环的 / 圆形的,The logic in his argument was circular and didn't prove anything.,,,,,,,
equivalent,等价的 / 等价物,The cost of the repair is equivalent to about two months' salary.,,,,,,,
think outside the box,跳出框框思考,We need to think outside the box to solve this unique marketing problem.,,,,,,,
prudent,审慎的,It would be prudent to save some money for unexpected emergencies.,,,,,,,
sort out … from …,挑选出 / 区分,It’s hard to sort out the facts from the rumors in this case.,,,,,,,
early on,在早期,We realized early on that the project would require more funding.,,,,,,,
funnel,输送 / 漏斗,The money was funneled through several offshore accounts to avoid taxes.,,,,,,,
multifaceted,多方面的,The social issue is multifaceted and cannot be solved with one simple law.,,,,,,,
fine-grained,细致的 / 颗粒度细的,The study provides a fine-grained analysis of the consumer data.,,,,,,,
sloppy,马虎的,The report was full of mistakes because of his sloppy work habits.,,,,,,,
obnoxious,令人讨厌的,He is an obnoxious person who constantly interrupts others during meetings.,,,,,,,
incentive,刺激 / 动力 / 诱因,The company offered a bonus as an incentive for employees to work harder.,,,,,,,
reflective,沉思的 / 反映的,He was in a reflective mood after attending the graduation ceremony.,,,,,,,
end up doing,最终变成 / 做了,If you don't start saving now,,,,,,,
disparate,迥然不同的,The team is made up of individuals from very disparate backgrounds.,,,,,,,
bring … into line,使……符合标准 / 一致,The new regulations aim to bring the local laws into line with national standards.,,,,,,,
deviate,偏离 / 背离,Do not deviate from the safety procedures under any circumstances.,,,,,,,
on the same page,意见一致,Before we start the project,,,,,,,
rigorous,严密的 / 严格的,The theory was subjected to rigorous testing by several independent labs.,,,,,,,
meritocratic,精英主义的 / 唯才是举的,They advocate for a meritocratic system where talent is the only key to success.,,,,,,,
cohort,一批 / 同期 / 步兵大队,This year's cohort of graduates is the largest in the school's history.,,,,,,,
aviation ~ avian,航空 vs 鸟类的,He works in the aviation industry,,,,,,,
memo ~ memorandum,备忘录 / 正式文件,The manager sent a brief memo to all staff about the upcoming holiday.,,,,,,,
selective ~ selectivity,选择性的 / 选择性,The university is highly selective,,,,,,,
correlate with,与……相关联,High stress levels often correlate with poor sleep quality.,,,,,,,
give out (a degree),授予（学位） / 分发,The university will give out honorary degrees to three distinguished scientists.,,,,,,,
shrink,缩小 / 萎缩,The market for print newspapers continues to shrink every year.,,,,,,,
credential,资历证明,You will need to present your credentials before entering the research facility.,,,,,,,
signify,表明 / 预示,A red light on the dashboard signifies a problem with the engine.,,,,,,,
sector,部门 / 行业 / 领域,He has worked in the financial sector for over twenty years.,,,,,,,
curriculum,课程大纲,The school is introducing a new coding course to its curriculum next year.,,,,,,,
prerequisite,先决条件,Completing the introductory course is a prerequisite for the advanced class.,,,,,,,
wither away,枯萎 / 逐渐消失,Without constant maintenance,,,,,,,
disengage,抽身 / 脱离,The country is trying to disengage from the long-standing border conflict.,,,,,,,
heterogeneous,异质的 / 多样化的,The population of the city is highly heterogeneous and culturally diverse.,,,,,,,
motive ~ motivate ~ motivation,动机 / 激励 / 积极性,What was his primary motive for choosing this difficult career path?,,,,,,,
come to an end,结束 / 终止,The long and exhausting meeting finally came to an end at midnight.,,,,,,,
co-education,男女同校,The school transitioned to co-education in the late 1970s.,,,,,,,
diverse ~ diversify ~ diversity,多样性 / 使多样化,The city is celebrated for its incredible cultural diversity.,,,,,,,
vet,退伍军人,The organization provides housing assistance for homeless vets.,,,,,,,
segregate,隔离 / 使分开,In the past,,,,,,,
transformational,变革性的,The new leadership had a transformational effect on the company's culture.,,,,,,,
jaded,厌倦 / 疲惫的,She felt jaded after years of working in the same repetitive job.,,,,,,,
shuffle,洗牌 / 拖着脚走,The old man shuffled slowly across the room in his slippers.,,,,,,,
patriarch ~ patriarchal ~ patriarchy,父权制 / 家长,The novel explores the difficulties of living in a strictly patriarchal society.,,,,,,,
oppress ~ oppression,压迫,The regime was criticized for its efforts to oppress political dissidents.,,,,,,,
repress,克制 / 镇压,He tried hard to repress a smile during the serious presentation.,,,,,,,
postmodernism,后现代主义,The building is a famous example of postmodernism in modern architecture.,,,,,,,
strike a chord with,引起共鸣,The singer's lyrics about loneliness strike a chord with many teenagers.,,,,,,,
sit up,坐起来 / 引起注意,The news of the discovery made the whole scientific world sit up.,,,,,,,
blasé,无动于衷的 / 玩世不恭的,He was quite blasé about his success,,,,,,,
literati,文人 / 知识界,The book launch was attended by the local literati and famous artists.,,,,,,,
self-conscious,过于意识到自我的,He felt very self-conscious about the stain on his tie during the interview.,,,,,,,
parody ~ parodic,模仿 / 恶搞,The movie is a hilarious parody of classic detective films.,,,,,,,
menacing,威胁的 / 险恶的,There was a menacing tone in his voice when he made the demand.,,,,,,,
ascend ~ ascent ~ ascendance,上升 / 攀登 / 支配,The hikers began their long ascent up the mountain at dawn.,,,,,,,
come up with,想出 / 提出,She came up with a brilliant solution to the technical problem.,,,,,,,
reticent,沉默的 / 寡言的,He is very reticent about his private life and rarely talks about his family.,,,,,,,
speak to (a subject),与……相关 / 探讨,The recent data speaks to the urgent need for better environmental laws.,,,,,,,
critic ~ critique ~ criticism,评论 / 批评,The film critic praised the director's bold new vision.,,,,,,,
overturn,推翻 / 颠覆,The Supreme Court eventually overturned the controversial ruling.,,,,,,,
topple,使倾倒 / 推翻,The protesters gathered in the square to topple the statue of the dictator.,,,,,,,
take to (the street),走上街头,Thousands of people took to the streets to protest the unfair tax.,,,,,,,
without so much as,连……都没有,He left the party without so much as a goodbye to the host.,,,,,,,
rationale,基本原理 / 根本原因,What is the rationale behind the company's decision to move its factory?,,,,,,,
sign away,签署放弃,He signed away his rights to the invention for a small sum of money.,,,,,,,
desegregation,废除种族隔离,The city was a key battleground in the fight for school desegregation.,,,,,,,
sit back,靠后坐 / 袖手旁观,We cannot just sit back and watch while the environment is destroyed.,,,,,,,
carnage,大屠杀 / 残杀,The scene of the car accident was one of terrible carnage.,,,,,,,
sport (v.),炫耀地穿着 / 穿戴,He was sporting a new designer watch that he bought in Paris.,,,,,,,
petition,请愿书 / 请愿,The residents started a petition against the construction of the new mall.,,,,,,,
overarching,包罗万象的 / 首要的,The overarching theme of the conference was global sustainability.,,,,,,,
narcissism,自恋,Many experts worry that social media is fueling a rise in narcissism.,,,,,,,
nihilism,虚无主义,The character's destructive behavior is driven by a sense of deep nihilism.,,,,,,,
might as well,不妨 / 还是……好,Since we are already here,,,,,,,
trite,陈旧的 / 平淡无味的,The plot of the movie was a bit trite and very predictable.,,,,,,,
bland,平淡无味的 / 乏味的,The sauce was a bit bland and needed more spices to be interesting.,,,,,,,
pastiche,模仿作品 / 拼凑物,The film is a clever pastiche of several 1950s sci-fi movies.,,,,,,,
set in,固定 / 开始并持续,A feeling of deep disappointment began to set in after the loss.,,,,,,,
envision,想象 / 展望,I can envision a world where technology solves most medical problems.,,,,,,,
cliché,陈词滥调,"It’s a cliché to say that ""hard work always pays off",,,,,,,
perfunctory,草率的 / 敷衍的,He gave the guest a perfunctory nod before returning to his book.,,,,,,,
culminate,达到顶点 / 以……告终,The months of training will culminate in the national championship.,,,,,,,
speak our minds,直言不讳,We encourage all our employees to speak their minds during meetings.,,,,,,,
agitate,鼓动 / 搅动 / 焦虑,The activists were agitating for better pay and safer working conditions.,,,,,,,
nostalgic,怀旧的,Looking through my childhood photo album made me feel very nostalgic.,,,,,,,
defunct,已经停用的 / 已死的,The old factory has been defunct for more than twenty years.,,,,,,,
channel … into …,向……输送 / 引导,The government is channeling more resources into rural healthcare.,,,,,,,
alternate ~ alternative,轮流的 / 替代的,We can take an alternative route if the highway is blocked.,,,,,,,
radicalism,激进主义,The economic crisis led to a sudden rise in political radicalism.,,,,,,,
come together,聚集 / 团结 / 成功,People from all over the country came together to support the cause.,,,,,,,
correspondent,记者 / 通讯员,The war correspondent sent live reports from the battlefield.,f51349b4-b925-41a4-b0a4-631c3a7fc125,2026-01-04,2026-01-05,1,1,2.6,learning
hang about,逗留 / 闲荡,They noticed a suspicious man hanging about the entrance.,b9fdc051-1edf-482e-8cb9-f65fec8f22e6,2026-01-04,2026-01-05,1,1,2.36,learning
descend,下降 / 遗传 / 突然降临,We watched the sun descend below the horizon.,ed7a23e0-b20d-403c-a2b7-6eecd687b60d,2026-01-04,2026-01-05,1,1,2.6,learning
feat,壮举 / 功绩,Completing the marathon was a remarkable feat of endurance.,bacfd86e-0f26-4421-ba5d-500437148978,2026-01-04,2026-01-05,1,0,2.5,learning
furnish … with …,向……提供……,The hotel will furnish you with all the necessary equipment.,f9274f13-058a-4573-b8ed-361e47a39f13,2026-01-04,2026-01-05,1,1,2.36,learning
secrecy,保密 / 秘密状态,The mission was carried out in absolute secrecy.,de7380b1-be4d-43a8-bb1c-67a36f81ab08,2026-01-04,2026-01-05,1,1,2.36,learning
whatever,（用于否定句后）丝毫 / 根本,There is no doubt whatever about his guilt.,a0039a85-9915-474c-af82-eb6a8c5179e2,2026-01-04,2026-01-05,1,1,2.6,learning
censor,审查员 / 审查,The government decided to censor the sensitive news report.,5f6aa9ff-f990-45f2-8c49-965fa94bda65,2026-01-04,2026-01-05,1,1,2.6,learning
grin,咧嘴笑,He had a broad grin on his face after winning the game.,828c4cb0-54d1-4af3-9831-6350621a20ed,2026-01-04,2026-01-05,1,1,2.6,learning
infantry,步兵,The infantry advanced slowly across the open field.,06e260b1-6b14-44d8-bf46-270e3fa18a4a,2026-01-04,2026-01-05,1,1,2.36,learning
cavalry,骑兵,In the past the cavalry was the fastest unit in the army.,8a3819ed-04db-47f5-83ef-21539c639381,2026-01-04,2026-01-05,1,1,2.36,learning
make … (out) of …,理解 / 弄懂,I can't make anything out of this messy handwriting.,7b08fc93-2755-4acf-b6ef-c3991e451b18,2026-01-04,2026-01-05,1,1,2.6,learning
foregone conclusion,预料中的必然结果,That they would win was a foregone conclusion.,5c3fa4c0-98ca-4fd3-9ed7-8fd5cb7960fd,2026-01-04,2026-01-05,1,1,2.36,learning
preconcerted,预先商定的,The meeting was a preconcerted attempt to change the policy.,0c7fa0cb-74f5-4ef5-a9f3-d520f0e313be,2026-01-04,2026-01-05,1,0,2.5,learning
muffle,蒙住 / 抑制（声音）,She used a cushion to muffle the sound of the alarm.,bc916ded-bb6e-4ff0-a45f-35d95f5dbaed,2026-01-04,2026-01-05,1,0,2.5,learning
mooted,讨论过的 / 尚未定案的,The idea of a new tax was mooted in Parliament yesterday.,b47f40dd-9660-47a1-81f4-73707a4cee89,2026-01-04,2026-01-05,1,0,2.5,learning
parlous,危险的 / 极糟的,The company's finances are in a parlous state.,f2adf533-c5fd-4053-8c7a-9bd3776d779a,2026-01-04,2026-01-05,1,0,2.5,learning
incontrovertible,无可争议的,The video evidence provided incontrovertible proof of the crime.,5bb64fa1-c31e-41fb-aa72-9197168691f6,2026-01-04,2026-01-05,1,1,2.6,learning
cipher,密码 / 暗号,The spy used a complex cipher to send the message.,e926d43d-ad98-4bc2-9351-19b4bdd32eb5,2026-01-04,2026-01-05,1,1,2.6,learning
vernacular,方言 / 本地话,He wrote his poems in the local vernacular.,7d0c6b24-0665-4775-a3bd-d8b3c49b2056,2026-01-04,2026-01-05,1,1,2.6,learning
acrostic,藏头诗,The first letters of each line in an acrostic form a word.,106c5fc2-c4ca-4765-a816-ffccf4b5a3a1,2026-01-04,2026-01-05,1,1,2.6,learning
pan out,（以特定方式）发展 / 结果是,We'll see how the new marketing strategy pans out.,f27f4e75-4498-4505-957f-5a380754850d,,2026-01-04,0,0,2.5,new
transpose,移置 / 调换顺序,Be careful not to transpose the digits in the phone number.,ab736df4-0f5e-4631-bec1-980e497f16f2,,2026-01-04,0,0,2.5,new
hustle,匆忙做某事 / 催促,We had to hustle to get to the station on time.,ac6fed11-f698-49a3-ba50-edcf5d19f45f,,2026-01-04,0,0,2.5,new
chop suey,杂烩 / 一团糟,The room was a real chop suey of old furniture and books.,4605a2c0-be03-4a69-8477-02f99caab69c,,2026-01-04,0,0,2.5,new
haul,拉 / 拖 / 运送,The truck had to haul a heavy load up the hill.,0d7445f9-8873-4c1d-b8ec-e6824d180853,,2026-01-04,0,0,2.5,new
servitude,奴役 / 劳役,Many people were sold into a life of servitude.,01862486-54e0-4383-bf97-dee4d1329019,,2026-01-04,0,0,2.5,new
patch,补丁 / 地块,He sowed seeds in a small patch of garden.,611d4ac9-711b-431d-82ac-7c6cb45e3379,,2026-01-04,0,0,2.5,new
watchman,看守人 / 巡夜者,The night watchman noticed the broken window.,bd676f31-50dc-4f60-9f39-5678975350db,,2026-01-04,0,0,2.5,new
handy-man,杂工 / 手巧的人,The handy-man fixed the leaking tap in minutes.,c42c32ad-46bc-4963-ade6-39afc24538eb,,2026-01-04,0,0,2.5,new
butt,（用头或角）撞,The goat tried to butt the fence.,b99267c5-e910-4b6c-a018-9451663cc20c,,2026-01-04,0,0,2.5,new
discomfit,使不安 / 使尴尬,The unexpected question seemed to discomfit the speaker.,43a9d87c-29a4-4737-80db-9c7febc36389,,2026-01-04,0,0,2.5,new
concerted,共同的 / 协同的,We need to make a concerted effort to solve this problem.,fd62c9eb-d255-4ff1-a60d-9ef3b38e831c,,2026-01-04,0,0,2.5,new
huddle,挤在一起 / 蜷缩,The sheep huddled together to keep warm in the snow.,5e8f937b-2abf-4ffb-be98-279c949c2279,,2026-01-04,0,0,2.5,new
Scotch,苏格兰的,She enjoyed a glass of Scotch whisky by the fire.,88647f88-1af5-43fc-b2a0-e5bd8154d3cd,,2026-01-04,0,0,2.5,new
confer,赋予 / 授予 / 商谈,The university will confer an honorary degree on the writer.,191bab2c-561f-42d8-bfe0-d45cd3365054,,2026-01-04,0,0,2.5,new
peg,钉子 / 固定,He hung his jacket on a wooden peg.,c466793b-c2d4-4682-b17a-1c1210615601,,2026-01-04,0,0,2.5,new
crooked,弯曲的 / 不诚实的,The picture on the wall is a bit crooked.,51f3b010-ac4b-413c-827b-ebf71cff6648,,2026-01-04,0,0,2.5,new
abash,使羞愧 / 使窘迫,He was not abashed by his failure and tried again.,0d43ee05-c97a-4fad-8253-0eaad55a462e,,2026-01-04,0,0,2.5,new
providence,天意 / 远见,It seemed like a stroke of providence that we met.,d8d2162a-d493-4845-86b1-1ee1989d6e3c,,2026-01-04,0,0,2.5,new
come off,成功 / 举行,Did the party come off as well as you hoped?,cf2cf585-5cef-4261-b43e-4e0c42fb9de5,,2026-01-04,0,0,2.5,new
scathe,损害 / 伤害,He emerged from the scandal relatively unscathed.,76e1794c-265b-46f0-bad5-d30b89845c73,,2026-01-04,0,0,2.5,new
hold to,坚持 / 遵循,We must hold to our principles despite the pressure.,7720f30f-21c2-485e-a244-ac2f5c9eb117,,2026-01-04,0,0,2.5,new
up a tree,进退两难,Without his car he's really up a tree.,85290711-eb99-41e5-80c6-78adc68a0677,,2026-01-04,0,0,2.5,new
fall down,失败 / 倒下,The plan fell down because of a lack of funding.,fe265fa1-5e4a-46c4-912d-b0243db3d637,,2026-01-04,0,0,2.5,new
set forth,陈述 / 阐明,The president set forth his views in a major speech.,71dce8da-a980-45ca-86f2-3a1e2461414b,,2026-01-04,0,0,2.5,new
dark horse,黑马,The young player proved to be a dark horse in the tournament.,087f4f81-13c0-41c0-baf5-c4ce94dea46a,,2026-01-04,0,0,2.5,new
beggar description,无法形容,The beauty of the sunset beggars description.,e6d38f92-6ee3-474e-8b5c-cbdd0a66b808,,2026-01-04,0,0,2.5,new
unawares,不知不觉地 / 意外地,The rain caught us unawares without umbrellas.,97fa9488-d431-4c14-bd97-6c8901f07575,,2026-01-04,0,0,2.5,new
pat,非常恰当的 / 现成的,His answer was a bit too pat to be entirely believable.,4fe9a435-4534-443d-91b0-73e0247a2b77,,2026-01-04,0,0,2.5,new
contest,质疑 / 争论,The lawyer decided to contest the validity of the will.,57ff30df-7f29-43ee-9042-319926ecdfc5,,2026-01-04,0,0,2.5,new
jolly,戏弄地开玩笑,They tried to jolly him along to get him to agree.,d914d820-ea16-4bb2-94be-484cbec46731,,2026-01-04,0,0,2.5,new
kingpin,核心人物,He is the kingpin of the local electronics industry.,5339230a-5852-4adc-970e-b91455f4a4f7,,2026-01-04,0,0,2.5,new
cyclone,气旋 / 旋风,The cyclone caused widespread damage to the coast.,7f106131-362a-4dbf-85f4-99f20eeab4ac,,2026-01-04,0,0,2.5,new
zephyr,和风 / 西风,A light zephyr blew across the lake.,763fd422-ef8c-4103-95e8-8c572ac740f5,,2026-01-04,0,0,2.5,new
urchin,流浪儿 / 顽童,A group of street urchins were playing in the alley.,f3928c57-3f59-44e3-ae2b-7810d64168a0,,2026-01-04,0,0,2.5,new
masses,群众 / 民众,The politician tried to appeal to the masses.,9ab24bb1-edd7-4513-863b-3ab0b6ec088c,,2026-01-04,0,0,2.5,new
derelict,破旧的 / 被遗弃的,The old factory has been derelict for years.,cbc36c67-f3ce-47ce-b234-6b84148d9627,,2026-01-04,0,0,2.5,new
ponderous,冗长的 / 笨重的,The book was written in a ponderous academic style.,652c2b42-74f7-4efe-9005-fdb52c6c498a,,2026-01-04,0,0,2.5,new
score,写下 / 记下,The composer scored the music for a full orchestra.,b234a0f6-c8ed-45d7-99f5-a0fe9b9053a1,,2026-01-04,0,0,2.5,new
complement,补充 / 补足语,The red wine is a perfect complement to the steak.,f2951199-632a-4b15-8551-18ae28b56a47,,2026-01-04,0,0,2.5,new
whirl,旋转 / 混乱,My mind was in a whirl after the shocking news.,8247d913-58cf-4073-b4fd-3ccebcea6f35,,2026-01-04,0,0,2.5,new
illustration,插画 / 阐释,The book contains many beautiful illustrations.,e0500dab-1e5c-40a5-bee3-577f79366285,,2026-01-04,0,0,2.5,new
artillery,大炮 / 炮兵,The heavy artillery provided cover for the advancing troops.,36f9db20-a07e-4f7f-9ac9-783a5774d745,,2026-01-04,0,0,2.5,new
jargon,行话 / 术语,I couldn't understand the technical jargon in the manual.,43f8f9a7-c1d4-4431-af73-86ef86faa3f3,,2026-01-04,0,0,2.5,new
dearth,缺乏 / 饥荒,There is a dearth of reliable information on the subject.,8fc175e1-2d7a-4f2c-87d2-ba500a69c34d,,2026-01-04,0,0,2.5,new
obituary,讣告,I read his obituary in the morning newspaper.,10932c3f-3104-4fea-b6b3-bcaa7e58e102,,2026-01-04,0,0,2.5,new
do … part,（根据语境）尽到职责 / 分开,Everyone must do their part to protect the environment.,1fb81573-373e-4dfb-9ade-7f6e2c299d5d,,2026-01-04,0,0,2.5,new
contradiction,矛盾 / 反驳,There is a clear contradiction between his words and actions.,dff75e47-3db1-4ee3-b5f9-54308f8222d5,,2026-01-04,0,0,2.5,new
journalistic,新闻业的,The article was written with great journalistic skill.,26e73d5d-7520-4048-b1d4-291595a365cd,,2026-01-04,0,0,2.5,new
pedestrian,行人 / 乏味的,The street was crowded with pedestrians.,b120e979-0059-4a66-b402-b36ba63ed51c,,2026-01-04,0,0,2.5,new
tackle,解决 / 应付 / 处理,The government needs to tackle the problem of inflation.,b776c402-5f6f-4a4f-a23a-24e0f7bf4630,,2026-01-04,0,0,2.5,new
refine,精炼 / 完善 / 改进,We need to refine our plan before presenting it.,9cc9eb02-beff-4fac-a07d-6fe16ef23f5f,,2026-01-04,0,0,2.5,new
sophistication,精致 / 复杂性 / 老练,The system is admired for its high level of sophistication.,041b1cfe-0ba7-47e2-b1df-c111b04ad512,,2026-01-04,0,0,2.5,new
at the end of the day,说到底 / 终究,At the end of the day it's your decision to make.,90d7ef63-b024-44e1-86f1-73a27e31d2ee,,2026-01-04,0,0,2.5,new
agree upon,达成一致 / 约定,Both parties have agreed upon the terms of the contract.,0a4d25af-32b1-4e5f-a44a-193bc602fc11,,2026-01-04,0,0,2.5,new
play into,迎合 / 落入……圈套,Your anger just plays into their hands.,d9911a63-1d28-4255-ace6-4d3b992dfd1e,,2026-01-04,0,0,2.5,new
stereotype,刻板印象 / 陈规,We should avoid judging people based on stereotypes.,cdf0b50e-c9ce-4d3f-9495-19d3ce2e4d99,,2026-01-04,0,0,2.5,new
misconception,误解 / 错误观念,There is a common misconception that all cats hate water.,3efca69f-5bff-427b-8837-e8e3dcd42ce4,,2026-01-04,0,0,2.5,new
lingua franca,通用语,English has become the lingua franca of international aviation.,d9457eb2-902a-4b4a-800d-281b73a5932d,,2026-01-04,0,0,2.5,new
just about,几乎 / 差不多,I've just about finished my homework.,bb713570-032c-4017-ac17-8dc778343b4e,,2026-01-04,0,0,2.5,new
flirt with,涉猎 / 玩弄 / 调情,He flirted with the idea of moving to Japan.,3e541b4b-b7ff-47d7-bb88-5e0add600164,,2026-01-04,0,0,2.5,new
a slew of,一大堆 / 许多,The company released a slew of new products this month.,0a4abd93-3e57-4e66-8bec-8049dbb9b99a,,2026-01-04,0,0,2.5,new
scribe,抄写员 / 书记,Ancient scribes were responsible for copying manuscripts.,a5c60162-25ae-4886-a9a5-b864ef4125d7,,2026-01-04,0,0,2.5,new
courtier,宫廷侍从,The king was surrounded by his loyal courtiers.,0b7c74ba-4c46-43ee-a2b7-cc9c65bdb677,,2026-01-04,0,0,2.5,new
(re)assert oneself,重新确立 / 重新显现,He needed to reassert himself after the long illness.,d6167a27-2c80-4fb7-90bd-85f21e5fe4bf,,2026-01-04,0,0,2.5,new
displace,取代 / 替换,The new technology will eventually displace the old ones.,5e5f65f4-5f33-44c2-a06c-495d892c655f,,2026-01-04,0,0,2.5,new
