"id","term","definition","context","last_review","next_review","interval","repetitions","ease_factor","status"
"","correspondent","记者 / 通讯员","The war correspondent sent live reports from the battlefield.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","hang about","逗留 / 闲荡","They noticed a suspicious man hanging about the entrance.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","descend","下降 / 遗传 / 突然降临","We watched the sun descend below the horizon.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","feat","壮举 / 功绩","Completing the marathon was a remarkable feat of endurance.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","furnish … with …","向……提供……","The hotel will furnish you with all the necessary equipment.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","secrecy","保密 / 秘密状态","The mission was carried out in absolute secrecy.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","whatever","（用于否定句后）丝毫 / 根本","There is no doubt whatever about his guilt.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","censor","审查员 / 审查","The government decided to censor the sensitive news report.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","grin","咧嘴笑","He had a broad grin on his face after winning the game.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","infantry","步兵","The infantry advanced slowly across the open field.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","cavalry","骑兵","In the past the cavalry was the fastest unit in the army.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","make … (out) of …","理解 / 弄懂","I can't make anything out of this messy handwriting.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","foregone conclusion","预料中的必然结果","That they would win was a foregone conclusion.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","preconcerted","预先商定的","The meeting was a preconcerted attempt to change the policy.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","muffle","蒙住 / 抑制（声音）","She used a cushion to muffle the sound of the alarm.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","mooted","讨论过的 / 尚未定案的","The idea of a new tax was mooted in Parliament yesterday.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","parlous","危险的 / 极糟的","The company's finances are in a parlous state.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","incontrovertible","无可争议的","The video evidence provided incontrovertible proof of the crime.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","cipher","密码 / 暗号","The spy used a complex cipher to send the message.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","vernacular","方言 / 本地话","He wrote his poems in the local vernacular.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","acrostic","藏头诗","The first letters of each line in an acrostic form a word.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","pan out","（以特定方式）发展 / 结果是","We'll see how the new marketing strategy pans out.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","transpose","移置 / 调换顺序","Be careful not to transpose the digits in the phone number.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","hustle","匆忙做某事 / 催促","We had to hustle to get to the station on time.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","chop suey","杂烩 / 一团糟","The room was a real chop suey of old furniture and books.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","haul","拉 / 拖 / 运送","The truck had to haul a heavy load up the hill.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","servitude","奴役 / 劳役","Many people were sold into a life of servitude.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","patch","补丁 / 地块","He sowed seeds in a small patch of garden.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","watchman","看守人 / 巡夜者","The night watchman noticed the broken window.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","handy-man","杂工 / 手巧的人","The handy-man fixed the leaking tap in minutes.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","butt","（用头或角）撞","The goat tried to butt the fence.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","discomfit","使不安 / 使尴尬","The unexpected question seemed to discomfit the speaker.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","concerted","共同的 / 协同的","We need to make a concerted effort to solve this problem.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","huddle","挤在一起 / 蜷缩","The sheep huddled together to keep warm in the snow.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","Scotch","苏格兰的","She enjoyed a glass of Scotch whisky by the fire.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","confer","赋予 / 授予 / 商谈","The university will confer an honorary degree on the writer.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","peg","钉子 / 固定","He hung his jacket on a wooden peg.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","crooked","弯曲的 / 不诚实的","The picture on the wall is a bit crooked.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","abash","使羞愧 / 使窘迫","He was not abashed by his failure and tried again.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","providence","天意 / 远见","It seemed like a stroke of providence that we met.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","come off","成功 / 举行","Did the party come off as well as you hoped?","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","scathe","损害 / 伤害","He emerged from the scandal relatively unscathed.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","hold to","坚持 / 遵循","We must hold to our principles despite the pressure.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","up a tree","进退两难","Without his car he's really up a tree.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","fall down","失败 / 倒下","The plan fell down because of a lack of funding.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","set forth","陈述 / 阐明","The president set forth his views in a major speech.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","dark horse","黑马","The young player proved to be a dark horse in the tournament.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","beggar description","无法形容","The beauty of the sunset beggars description.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","unawares","不知不觉地 / 意外地","The rain caught us unawares without umbrellas.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","pat","非常恰当的 / 现成的","His answer was a bit too pat to be entirely believable.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","contest","质疑 / 争论","The lawyer decided to contest the validity of the will.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","jolly","戏弄地开玩笑","They tried to jolly him along to get him to agree.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","kingpin","核心人物","He is the kingpin of the local electronics industry.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","cyclone","气旋 / 旋风","The cyclone caused widespread damage to the coast.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","zephyr","和风 / 西风","A light zephyr blew across the lake.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","urchin","流浪儿 / 顽童","A group of street urchins were playing in the alley.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","masses","群众 / 民众","The politician tried to appeal to the masses.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","derelict","破旧的 / 被遗弃的","The old factory has been derelict for years.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","ponderous","冗长的 / 笨重的","The book was written in a ponderous academic style.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","score","写下 / 记下","The composer scored the music for a full orchestra.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","complement","补充 / 补足语","The red wine is a perfect complement to the steak.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","whirl","旋转 / 混乱","My mind was in a whirl after the shocking news.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","illustration","插画 / 阐释","The book contains many beautiful illustrations.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","artillery","大炮 / 炮兵","The heavy artillery provided cover for the advancing troops.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","jargon","行话 / 术语","I couldn't understand the technical jargon in the manual.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","dearth","缺乏 / 饥荒","There is a dearth of reliable information on the subject.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","obituary","讣告","I read his obituary in the morning newspaper.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","do … part","（根据语境）尽到职责 / 分开","Everyone must do their part to protect the environment.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","contradiction","矛盾 / 反驳","There is a clear contradiction between his words and actions.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","journalistic","新闻业的","The article was written with great journalistic skill.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","pedestrian","行人 / 乏味的","The street was crowded with pedestrians.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","tackle","解决 / 应付 / 处理","The government needs to tackle the problem of inflation.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","refine","精炼 / 完善 / 改进","We need to refine our plan before presenting it.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","sophistication","精致 / 复杂性 / 老练","The system is admired for its high level of sophistication.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","at the end of the day","说到底 / 终究","At the end of the day it's your decision to make.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","agree upon","达成一致 / 约定","Both parties have agreed upon the terms of the contract.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","play into","迎合 / 落入……圈套","Your anger just plays into their hands.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","stereotype","刻板印象 / 陈规","We should avoid judging people based on stereotypes.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","misconception","误解 / 错误观念","There is a common misconception that all cats hate water.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","lingua franca","通用语","English has become the lingua franca of international aviation.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","just about","几乎 / 差不多","I've just about finished my homework.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","flirt with","涉猎 / 玩弄 / 调情","He flirted with the idea of moving to Japan.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","a slew of","一大堆 / 许多","The company released a slew of new products this month.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","scribe","抄写员 / 书记","Ancient scribes were responsible for copying manuscripts.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","courtier","宫廷侍从","The king was surrounded by his loyal courtiers.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","(re)assert oneself","重新确立 / 重新显现","He needed to reassert himself after the long illness.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","displace","取代 / 替换","The new technology will eventually displace the old ones.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","guild","公会 / 行会","The medieval guilds controlled the quality of crafts.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","compositor","排字工人","The compositor carefully arranged the metal type for the book.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","typeface","字体 / 字样","The designer chose a modern typeface for the logo.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","busybody","多管闲事的人","Our neighbor is a real busybody who knows everyone's business.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","grammarian","语法学家","The grammarian argued for a stricter use of punctuation.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","ostensible","表面上的 / 假装的","Their ostensible goal was peace but they prepared for war.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","prescriptive","规定性的","The teacher took a prescriptive approach to grammar rules.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","descriptive","描写性的","Descriptive linguistics studies how language is actually used.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","in and of itself","本身 / 就其本身而言","The money in and of itself is not the problem.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","citation","引用 / 引证 / 传票","The essay included many citations from reliable sources.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","decry","谴责 / 贬低","Many critics decried the lack of originality in the film.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","etymology","词源学 / 词源","Studying etymology helps you understand how words evolve.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","rail","斥责 / 责骂 / 抱怨","He railed against the injustice of the new law.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","nauseous","令人呕吐的 / 产生恶心的","The smell of the garbage was absolutely nauseous.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","nauseated","感到恶心的","The bumpy boat ride made her feel nauseated.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","rationale","基本原理 / 根本原因","What is the rationale behind this new policy?","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","feel strongly about","对……有强烈的看法","Many people feel strongly about the need for climate action.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","strenuous","费力的 / 艰苦的","Lifting those heavy boxes was very strenuous work.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","get to do","能够做某事 / 获得机会","I finally got to meet my favorite author.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","whereby","凭此 / 借以 / 如何","They created a system whereby students could rate teachers.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","exert influence on","施加影响","Parents exert a great influence on their children's habits.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","look to","指望 / 依靠 / 注意","They look to the government for financial support.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","outstrip","超过 / 胜过","Demand for the new phone has outstripped supply.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","snap up","抢购 / 匆匆吃下","All the tickets were snapped up within minutes.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","how-to","指南 / 入门教程","I bought a how-to book on gardening for beginners.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","nuisance","麻烦事 / 讨厌的人或物","The loud noise from the street is a real nuisance.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","vermin","害虫 / 害鸟 / 歹徒","They called in pest control to deal with the vermin.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","frown upon","不赞成 / 皱眉反对","Smoking in public places is increasingly frowned upon.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","improper","不合适的 / 不当的","It would be improper for a judge to discuss a case.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","impropriety","不当行为 / 违规","There were allegations of financial impropriety in the office.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","implement","实施 / 执行","The company plans to implement the new rules next month.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","couch","（以某种方式）表达 / 措辞","The message was couched in very polite language.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","ingrained","根深蒂固的","The habit of waking up early was ingrained in him.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","conspicuous","显眼的 / 显著的","The tower is a conspicuous landmark in the city.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","maven","专家 / 内行","She is a fashion maven who knows all the latest trends.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","flat-out","完全的 / 坦率地 / 全速的","He was flat-out lying when he said he wasn't there.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","innate","天生的 / 先天的","She has an innate talent for playing the piano.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","do away with","废除 / 摆脱","The school decided to do away with the old uniform.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","intersect","相交 / 交叉","The two lines intersect at a right angle.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","keep to","坚持 / 遵守 / 不离开","It's important to keep to the original plan during the experiment.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","parable","寓言 / 比喻","The teacher used a simple parable to explain the moral lesson.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","stout","结实的 / 肥胖的","The house was built with stout oak beams.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","stoutness","结实 / 肥胖","His stoutness made it difficult for him to climb the stairs.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","wedge","楔子 / 挤进","He used a small piece of wood as a wedge to stop the door from closing.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","crystalline","水晶般的 / 透明的","The mountain air was crystalline and cold.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","bruise","弄伤 / 擦伤 / 瘀伤","The fall left a large bruise on her knee.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","flank","侧面 / 肋部","The hunters moved around the flank of the mountain.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","gospel","福音 / 真理","The local community spread the gospel of sustainable living.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","tangle","纠缠 / 混乱","The fishing line got into a terrible tangle.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","bathe","沐浴 / 浸","The room was bathed in soft golden light.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","proceed","继续进行 / 前进","After the interruption","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","sinful","有罪的 / 邪恶的","He felt that wasting food was a sinful act.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","ascetic","禁欲的 / 苦行者","He lived an ascetic life in a remote monastery.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","asceticism","禁欲主义","The monk’s life was defined by extreme asceticism.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","pulpit","讲坛 / 僧侣","The priest stood in the pulpit to deliver his sermon.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","antithesis","对立面 / 对照","His behavior was the exact antithesis of what we expected.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","allusion","典故 / 暗指","The poem is full of allusions to Greek mythology.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","allude to","暗指 / 提到","He alluded to the problem but didn't explain it in detail.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","twig","小树枝","A small bird sat on a dry twig of the apple tree.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","snap","断裂 / 猛咬","The dry branch snapped under his weight.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","depreciate","贬低 / 轻视 / 贬值","New cars depreciate in value as soon as you drive them away.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","undergrowth","灌木丛 / 丛林","The dog disappeared into the thick undergrowth.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","tread","踏踩 / 行走","Be careful not to tread on the flowers.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","take fright","受惊 / 惊恐","The horse took fright at the sound of the explosion.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","squawk","尖叫 / 诉苦","The parrot gave a loud squawk when I approached.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","amiss","出错的 / 有毛病的","I knew something was amiss when she didn't call back.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","buy … out","买下……的全部股份 / 收购","The larger company offered to buy out the small family business.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","beset","困扰 / 围绕","The project was beset by technical difficulties from the start.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","round off","使……完整 / 凑整","We can round off the evening with a nice dessert.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","plot a curve","画曲线","The scientist plotted a curve to show the rate of growth.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","immense","巨大的 / 广大的","The cost of the restoration project was immense.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","immensity","巨大 / 广大","She was overwhelmed by the immensity of the ocean.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","nucleus","核心 / 原子核","The nucleus of the cell contains most of the genetic material.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","nuclei","核心（复数）","Atomic nuclei are made of protons and neutrons.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","dominion","统治权 / 领土","In the past","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","take alarm","感到警觉 / 惊慌","Residents took alarm when they saw smoke coming from the forest.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","clean","完全地 / 彻底地","The bullet went clean through the wooden door.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","restless","焦躁不安的 / 静不下来的","The audience grew restless during the long speech.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","come over","袭来 / 笼罩 / 过来","A feeling of sadness came over him as he read the letter.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","pretentious","做作的 / 自命不凡的","I found his style of writing very pretentious and hard to follow.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","sinister","不祥的 / 阴险的","There was something sinister about the dark","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","trinity","三位一体 / 三人一组","The novel explores the trinity of love","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","shun","躲开 / 避开","He began to shun public attention after the scandal.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","defect","缺陷 / 变节","The toy was recalled due to a serious manufacturing defect.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","defective","有缺陷的","You can return the product if it is found to be defective.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","germ","胚芽 / 细菌 / 萌芽","The germ of the idea came to him while he was on vacation.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","exquisite","精致的 / 细腻的","The museum has an exquisite collection of ancient jewelry.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","carnal","肉体的 / 世俗的","The monk was taught to suppress all carnal desires.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","entangle","缠住 / 使陷入","The dolphin became entangled in the fishing net.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","meagre","贫乏的 / 瘦的","They survived on a meagre diet of bread and water.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","traverse","横过 / 穿过","The explorers had to traverse the entire desert on foot.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","all too","非常 / 太……","The weekend was all too short and soon it was Monday.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","grub","（用手）挖掘 / 搜寻","The children were grubbing about in the garden for worms.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","span","跨度 / 跨越","The bridge spans the river at its narrowest point.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","termite","白蚁","The old wooden house was severely damaged by termites.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","circle","圆圈 / 环绕","The eagles circled high above the valley.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","circular","循环的 / 圆形的","The letter was sent to all members as a circular.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","circulate","循环 / 流传","Blood circulates through the body to deliver oxygen.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","circulation","循环 / 流通 / 发行量","The magazine has a daily circulation of over 50","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","gorge (on)","吞食 / 狼吞虎咽","The children gorged themselves on chocolate and cake.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","avaricious","贪婪的","The avaricious businessman was never satisfied with his profits.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","avarice","贪婪","His motive for the crime was pure avarice.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","quadruple","使成四倍 / 四倍的","The price of the house has quadrupled in the last ten years.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","gait","步态 / 步法","The old man walked with a slow and heavy gait.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","wont","习惯 / 惯常的","As was her wont","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","sponge","海绵 / 抹除","He used a wet sponge to clean the chalkboard.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","spongy","海绵状的","The ground was soft and spongy after the heavy rain.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","bog","泥潭 / 使陷入","The car got bogged down in the thick mud.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","stiffen","变硬 / 僵硬","His muscles began to stiffen after the long hike.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","pastry","糕点 / 点心","The bakery sells a delicious range of French pastries.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","limber","柔软的 / 敏捷的","She did some stretching exercises to keep her body limber.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","indeterminate","不明确的 / 不确定的","The date of the meeting is still indeterminate.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","in someone’s company","在某人陪同下","I always feel comfortable and relaxed in her company.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","quartet","四重奏 / 四人组","The string quartet performed a piece by Mozart.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","give place to","让位给 / 被替代","The old steam trains eventually gave place to electric ones.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","adorn","装饰","The walls were adorned with beautiful paintings.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","adornment","装饰品","The simple dress needed no further adornment.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","beseech","恳求 / 乞求","I beseech you to reconsider your decision.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","swirl","旋转 / 漩涡","The autumn leaves swirled around in the wind.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","lethargic","无精打采的","The hot weather made everyone feel lethargic and tired.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","condescension","屈尊俯就 / 傲慢","I resented the tone of condescension in his voice.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","to their best form","达到最佳状态","The athletes trained hard to return to their best form.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","bequest","遗嘱 / 遗产","He left a generous bequest to the local library.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","inning","局 / 机会","The team scored three runs in the final inning.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","zest","热心 / 热情 / 兴趣","He entered into the new project with great zest.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","gambit","开局策略 / 试探","His opening gambit in the negotiation was very clever.","2026-01-04","2026-01-05",1,0,2.5,"learning"
