"id","term","definition","context","last_review","next_review","interval","repetitions","ease_factor","status"
"","for that matter","确切地说 / 此外","I don't like horror movies","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","benefactor","恩人 / 捐助者","The hospital was built thanks to a wealthy benefactor.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","sliver","裂片 / 薄片","He cut a tiny sliver of cake just to taste it.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","heir","继承人","He is the legal heir to the family fortune.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","heiress","女继承人","The young heiress inherited a large estate from her grandfather.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","promenade","散步 / 漫步","Couples were promenading along the seafront at sunset.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","by rote","死记硬背地","He learned the entire poem by rote without understanding it.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","sleek","光滑的 / 井然有序的","The cat had a sleek and shiny coat of black fur.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","supple","柔韧的 / 灵活的","Yoga helps to keep your joints supple and strong.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","nudge","轻推 / 推进","He gave me a gentle nudge to wake me up.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","tender","呈递 / 提出 / 投标","The company decided to tender for the new bridge project.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","regal","威严的 / 王室的","She looked very regal in her long silk gown.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","fling","投掷 / 抛出 / 猛冲","He flung his coat onto the sofa and sat down.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","chaste","贞洁的 / 朴素的","The room was decorated in a simple and chaste style.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","forfeit","丧失 / 被罚没","He had to forfeit his deposit because he cancelled late.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","immaculate","纯洁无瑕的 / 一尘不染的","The house was kept in immaculate condition.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","retort","顶嘴 / 反驳","""It's none of your business","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","inhabit","居住于 / 栖息于","Many rare species of birds inhabit these remote islands.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","detach","分离 / 拆卸 / 使超脱","He tried to detach himself from the reality of the situation.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","perturb","使不安 / 扰乱","The sudden change in plans did not seem to perturb him at all.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","musty","发霉的 / 陈腐的","The old library was filled with the smell of musty books.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","devout","虔诚的 / 衷心的","She was a devout follower of the faith and attended every service.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","straggle","漫步 / 离群 / 蔓延","A few latecomers began to straggle into the hall after the lecture started.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","rusty","生锈的 / （技能）生疏的","The gate made a loud creak on its rusty hinges.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","charitable","慈善的 / 宽厚的","He made a generous and charitable donation to the local orphanage.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","sombre","阴沉的 / 忧郁的 / 昏暗活动","The funeral was a very sombre and quiet occasion.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","feeble","虚弱的 / 无力的","The sick man gave a feeble wave from his bed.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","career","飞奔 / 猛冲","The carriage began to career wildly down the narrow street.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","run the gauntlet","受到严厉批评 / 穿过危险区","The whistle-blower had to run the gauntlet of media questions.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","odour","气味 / 名声","The strange odour in the room reminded him of old incense.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","harness","治理 / 利用 / 束以马具","Scientists are trying to harness the power of the sun more efficiently.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","resign","辞职 / 放弃 / 顺从","She resigned herself to the fact that she wouldn't win the race.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","railings","栏杆 / 围栏","Children were leaning over the iron railings to watch the parade.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","toss","抛 / 掷 / 颠簸","The small boat was tossed about by the giant waves.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","parlour","客厅 / 店堂","In the Victorian era","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","sash","肩带 / 腰带 / 窗框","The girl wore a bright red sash over her white dress.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","diverge","分歧 / 偏离 / 分叉","The two paths diverge at the edge of the forest.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","summons","召唤 / 传唤 / 传票","He received a formal summons to appear in court as a witness.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","flaring","闪耀的 / 燃烧的","The flaring torches lit up the dark entrance of the cave.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","jostle","推挤 / 挤撞","Shoppers had to jostle each other to reach the sales counter.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","shrill","尖锐刺耳的","A shrill whistle pierced the silence of the night.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","nasal","鼻音的 / 鼻的","He spoke with a distinct nasal twang due to his cold.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","ballad","民谣 / 叙事歌","The minstrel sang a haunting ballad about a lost love.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","sensation","感觉 / 轰动","The news of the discovery caused a great sensation worldwide.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","chalice","圣餐杯 / 高脚杯","The priest carefully raised the golden chalice during the ceremony.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","throng","人群 / 挤满","A huge throng of fans gathered outside the stadium.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","bosom","胸膛 / 怀抱","She held the child close to her bosom to keep him warm.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","pane","窗格玻璃","He looked out through a cracked pane of glass.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","impinge","侵犯 / 撞击 / 影响","The noise from the street began to impinge on her concentration.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","incessant","不停的 / 连续不断的","The incessant rain lasted for three days without stopping.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","sodden","湿透的 / 浸透的","His shoes were sodden after walking through the marshes.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","bazaar","市集 / 义卖","We bought some beautiful handmade rugs at the local bazaar.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","retreat","隐居处 / 撤退","The mountains provided a quiet retreat from the busy city life.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","innumerable","无数的 / 数不清的","There are innumerable stars visible on a clear night.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","lay waste to","毁坏 / 蹂躏","The invading army laid waste to the entire countryside.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","annihilate","歼灭 / 彻底消灭","The city was almost completely annihilated during the earthquake.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","intervene","干预 / 调停","The government had to intervene to prevent a strike.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","chafe","摩擦 / 擦痛 / 烦躁","The tight collar began to chafe his neck.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","come between","妨碍 / 离间","I won't let a small argument come between our friendship.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","luxuriate","享受 / 纵情","He spent the afternoon luxuriating in a warm bath.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","enchant","使着迷 / 施魔法","The beauty of the landscape enchanted every visitor.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","amiable","亲切的 / 和蔼可亲的","The host was an amiable man who made everyone feel welcome.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","stern","严厉的 / 坚定的","The teacher gave the students a stern warning about cheating.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","call together","召集","The manager called together the staff for an emergency meeting.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","stand between","处于……之间 / 阻碍","Nothing should stand between a person and their dreams.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","monotonous","单调的 / 乏味的","The work was monotonous","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","fuss","忙乱 / 大惊小怪","There was a lot of fuss over the wedding arrangements.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","curt","简短的 / 粗鲁的","He gave a curt reply and walked away without looking back.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","misgive","使疑虑 / 使害怕","He felt a sense of misgiving about the safety of the bridge.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","mount","登上 / 增加 / 装置","Pressure began to mount as the deadline approached.","2026-01-04","2026-01-05",1,1,2.6,"learning"
"","indistinct","不清楚的 / 模糊的","The figures in the distance were indistinct in the thick fog.","2026-01-04","2026-01-05",1,1,2.36,"learning"
"","clad","穿着的 / 覆盖的","The mountains were clad in a thick blanket of snow.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","discreet","谨慎的 / 考虑周全的","He made a discreet inquiry about the job opening.","2026-01-04","2026-01-05",1,0,2.5,"learning"
"","garrulous","话多的 / 喋喋不休的","The garrulous old man could talk for hours about his youth.","","2026-01-04",0,0,2.5,""
"","clench","握紧 / 咬紧","He clenched his fists in anger but said nothing.","","2026-01-04",0,0,2.5,""
"","hallstand","门厅衣帽架","He hung his umbrella and coat on the hallstand.","","2026-01-04",0,0,2.5,""
"","stride","大步走 / 跨越","He walked with a confident stride toward the stage.","","2026-01-04",0,0,2.5,""
"","glare","怒目而视 / 刺眼的光","The sun's glare on the water was blinding.","","2026-01-04",0,0,2.5,""
"","ruinous","破坏性的 / 荒废的","The high interest rates had a ruinous effect on the business.","","2026-01-04",0,0,2.5,""
"","improvise","即兴创作 / 临时凑成","If you don't have the right tools","","2026-01-04",0,0,2.5,""
"","weary","疲倦的 / 厌烦的","She was weary after the long journey and wanted to sleep.","","2026-01-04",0,0,2.5,""
"","gird","环绕 / 束缚 / 准备","The knights began to gird themselves for the upcoming battle.","","2026-01-04",0,0,2.5,""
"","pervade","弥漫 / 普及","A sense of deep sadness pervaded the whole house.","","2026-01-04",0,0,2.5,""
"","salver","银盘 / 托盘","The butler served the drinks on a polished silver salver.","","2026-01-04",0,0,2.5,""
"","deride","嘲笑 / 嘲弄","His critics derided his attempt to write a novel.","","2026-01-04",0,0,2.5,""
"","vain","徒劳的 / 自负的","They made a vain attempt to stop the flooding.","","2026-01-04",0,0,2.5,""
"","anguish","痛苦 / 苦恼","The mother was in deep anguish over her missing child.","","2026-01-04",0,0,2.5,""
"","invert","使倒置 / 使反转","The glass was inverted on the table to keep it clean.","","2026-01-04",0,0,2.5,""
"","paralyse","使瘫痪 / 使麻痹","The fear of failure seemed to paralyse his creativity.","","2026-01-04",0,0,2.5,""
"","confine to","限制在……内","The discussion was confined to the immediate problems.","","2026-01-04",0,0,2.5,""
"","give on to","面向 / 通向","The French windows give on to a beautiful stone terrace.","","2026-01-04",0,0,2.5,""
"","attend to","照料 / 专心于","The doctor had to attend to several patients at once.","","2026-01-04",0,0,2.5,""
"","eke out","勉强维持 / 补充","They had to eke out their small savings until the end of the month.","","2026-01-04",0,0,2.5,""
"","minute","微小的 / 详细的","The robot was capable of making minute adjustments to the lens.","","2026-01-04",0,0,2.5,""
"","overhang","悬垂 / 悬于……之上","Large rocks overhang the narrow mountain road.","","2026-01-04",0,0,2.5,""
"","infirmity","虚弱 / 疾病","In his old age","","2026-01-04",0,0,2.5,""
"","crucifix","十字架 / 苦像","A large wooden crucifix hung on the wall of the chapel.","","2026-01-04",0,0,2.5,""
"","assiduous","勤奋的 / 刻苦的","She was assiduous in her duties and never missed a day of work.","","2026-01-04",0,0,2.5,""
"","industrious","勤劳的 / 努力的","The industrious students spent all weekend in the library.","","2026-01-04",0,0,2.5,""
"","invalid","病人 / 残疾人","He spent the last years of his life as a bedridden invalid.","","2026-01-04",0,0,2.5,""
"","fondle","爱抚 / 抚弄","She began to fondle the kitten behind its ears.","","2026-01-04",0,0,2.5,""
"","endow … with …","赋予 / 天生具有","Nature has endowed her with a beautiful singing voice.","","2026-01-04",0,0,2.5,""
"","affectation","做作 / 假装","I found his upper-class accent to be a bit of an affectation.","","2026-01-04",0,0,2.5,""
"","pantomime","哑剧","The actors used pantomime to tell the story without words.","","2026-01-04",0,0,2.5,""
"","courtship","求爱 / 追求","The book describes the long and traditional courtship of the couple.","","2026-01-04",0,0,2.5,""
"","keep … company","陪伴某人","My dog stays by my side to keep me company when I'm lonely.","","2026-01-04",0,0,2.5,""
"","rouse","唤醒 / 激起","The loud noise was enough to rouse the entire house.","","2026-01-04",0,0,2.5,""
"","come to one’s relief","给予安慰 / 使人松一口气","The arrival of the rescue team came to their great relief.","","2026-01-04",0,0,2.5,""
"","of yore","过去的 / 昔日的","In the days of yore","","2026-01-04",0,0,2.5,""
"","take heart of grace","重新振作起来","He took heart of grace and decided to try one more time.","","2026-01-04",0,0,2.5,""
"","allegory","寓言 / 象征","The story is a political allegory about the rise of a dictator.","","2026-01-04",0,0,2.5,""
"","thereupon","随即 / 于是","He said goodbye and thereupon left the room.","","2026-01-04",0,0,2.5,""
"","fret","使烦恼 / 焦急","Don't fret about the little things; focus on the big picture.","","2026-01-04",0,0,2.5,""
"","flit","掠过 / 轻快地飞","Butterflies began to flit from flower to flower.","","2026-01-04",0,0,2.5,""
"","protract","拖延 / 延长","The legal battle was protracted for several years.","","2026-01-04",0,0,2.5,""
"","beckon","招手 / 召唤","The warm blue water seemed to beckon the tired travelers.","","2026-01-04",0,0,2.5,""
"","vein","情绪 / 纹理 / 静脉","He continued the story in a much more serious vein.","","2026-01-04",0,0,2.5,""
"","sympathy","同情 / 共鸣","I have a lot of sympathy for people who have lost their jobs.","","2026-01-04",0,0,2.5,""
"","rejoice","因……而高兴 / 庆祝","Everyone rejoiced at the news of the victory.","","2026-01-04",0,0,2.5,""
"","revere","尊敬 / 崇敬","The old teacher was revered by all his former students.","","2026-01-04",0,0,2.5,""
"","requiem","安魂曲 / 挽歌","The orchestra performed a moving requiem for the late king.","","2026-01-04",0,0,2.5,""
"","eat up","耗尽","The unexpected legal fees will eat up all our remaining budget.","","2026-01-04",0,0,2.5,""
"","gracious","亲切优雅","The hostess was very gracious to all her guests despite the late hour.","","2026-01-04",0,0,2.5,""
"","disabuse","消除错误的念头","I must disabuse you of the idea that this project will be easy.","","2026-01-04",0,0,2.5,""
"","part company","分道扬镳","The two business partners parted company after a series of bitter arguments.","","2026-01-04",0,0,2.5,""
"","no hard feelings","没有怨恨","We decided to cancel the contract","","2026-01-04",0,0,2.5,""
"","overwork","使过度劳累","If you overwork yourself every day","","2026-01-04",0,0,2.5,""
"","ego","自我 / 自负","He has a massive ego and finds it difficult to accept any criticism.","","2026-01-04",0,0,2.5,""
"","monetise","将……变为利润","The company is looking for creative ways to monetise its website traffic.","","2026-01-04",0,0,2.5,""
"","legitimate","合法的","The lawyer confirmed that it was a legitimate business expense.","","2026-01-04",0,0,2.5,""
"","call upon","召唤 / 号召","The president called upon the citizens to help the disaster victims.","","2026-01-04",0,0,2.5,""
"","circular","循环的 / 圆形的","The logic in his argument was circular and didn't prove anything.","","2026-01-04",0,0,2.5,""
"","equivalent","等价的 / 等价物","The cost of the repair is equivalent to about two months' salary.","","2026-01-04",0,0,2.5,""
"","think outside the box","跳出框框思考","We need to think outside the box to solve this unique marketing problem.","","2026-01-04",0,0,2.5,""
"","prudent","审慎的","It would be prudent to save some money for unexpected emergencies.","","2026-01-04",0,0,2.5,""
"","sort out … from …","挑选出 / 区分","It’s hard to sort out the facts from the rumors in this case.","","2026-01-04",0,0,2.5,""
"","early on","在早期","We realized early on that the project would require more funding.","","2026-01-04",0,0,2.5,""
"","funnel","输送 / 漏斗","The money was funneled through several offshore accounts to avoid taxes.","","2026-01-04",0,0,2.5,""
"","multifaceted","多方面的","The social issue is multifaceted and cannot be solved with one simple law.","","2026-01-04",0,0,2.5,""
"","fine-grained","细致的 / 颗粒度细的","The study provides a fine-grained analysis of the consumer data.","","2026-01-04",0,0,2.5,""
"","sloppy","马虎的","The report was full of mistakes because of his sloppy work habits.","","2026-01-04",0,0,2.5,""
"","obnoxious","令人讨厌的","He is an obnoxious person who constantly interrupts others during meetings.","","2026-01-04",0,0,2.5,""
"","incentive","刺激 / 动力 / 诱因","The company offered a bonus as an incentive for employees to work harder.","","2026-01-04",0,0,2.5,""
"","reflective","沉思的 / 反映的","He was in a reflective mood after attending the graduation ceremony.","","2026-01-04",0,0,2.5,""
"","end up doing","最终变成 / 做了","If you don't start saving now","","2026-01-04",0,0,2.5,""
"","disparate","迥然不同的","The team is made up of individuals from very disparate backgrounds.","","2026-01-04",0,0,2.5,""
"","bring … into line","使……符合标准 / 一致","The new regulations aim to bring the local laws into line with national standards.","","2026-01-04",0,0,2.5,""
"","deviate","偏离 / 背离","Do not deviate from the safety procedures under any circumstances.","","2026-01-04",0,0,2.5,""
"","on the same page","意见一致","Before we start the project","","2026-01-04",0,0,2.5,""
"","rigorous","严密的 / 严格的","The theory was subjected to rigorous testing by several independent labs.","","2026-01-04",0,0,2.5,""
"","meritocratic","精英主义的 / 唯才是举的","They advocate for a meritocratic system where talent is the only key to success.","","2026-01-04",0,0,2.5,""
"","cohort","一批 / 同期 / 步兵大队","This year's cohort of graduates is the largest in the school's history.","","2026-01-04",0,0,2.5,""
"","aviation ~ avian","航空 vs 鸟类的","He works in the aviation industry","","2026-01-04",0,0,2.5,""
"","memo ~ memorandum","备忘录 / 正式文件","The manager sent a brief memo to all staff about the upcoming holiday.","","2026-01-04",0,0,2.5,""
"","selective ~ selectivity","选择性的 / 选择性","The university is highly selective","","2026-01-04",0,0,2.5,""
"","correlate with","与……相关联","High stress levels often correlate with poor sleep quality.","","2026-01-04",0,0,2.5,""
"","give out (a degree)","授予（学位） / 分发","The university will give out honorary degrees to three distinguished scientists.","","2026-01-04",0,0,2.5,""
"","shrink","缩小 / 萎缩","The market for print newspapers continues to shrink every year.","","2026-01-04",0,0,2.5,""
"","credential","资历证明","You will need to present your credentials before entering the research facility.","","2026-01-04",0,0,2.5,""
"","signify","表明 / 预示","A red light on the dashboard signifies a problem with the engine.","","2026-01-04",0,0,2.5,""
"","sector","部门 / 行业 / 领域","He has worked in the financial sector for over twenty years.","","2026-01-04",0,0,2.5,""
"","curriculum","课程大纲","The school is introducing a new coding course to its curriculum next year.","","2026-01-04",0,0,2.5,""
"","prerequisite","先决条件","Completing the introductory course is a prerequisite for the advanced class.","","2026-01-04",0,0,2.5,""
"","wither away","枯萎 / 逐渐消失","Without constant maintenance","","2026-01-04",0,0,2.5,""
"","disengage","抽身 / 脱离","The country is trying to disengage from the long-standing border conflict.","","2026-01-04",0,0,2.5,""
"","heterogeneous","异质的 / 多样化的","The population of the city is highly heterogeneous and culturally diverse.","","2026-01-04",0,0,2.5,""
"","motive ~ motivate ~ motivation","动机 / 激励 / 积极性","What was his primary motive for choosing this difficult career path?","","2026-01-04",0,0,2.5,""
"","come to an end","结束 / 终止","The long and exhausting meeting finally came to an end at midnight.","","2026-01-04",0,0,2.5,""
"","co-education","男女同校","The school transitioned to co-education in the late 1970s.","","2026-01-04",0,0,2.5,""
"","diverse ~ diversify ~ diversity","多样性 / 使多样化","The city is celebrated for its incredible cultural diversity.","","2026-01-04",0,0,2.5,""
"","vet","退伍军人","The organization provides housing assistance for homeless vets.","","2026-01-04",0,0,2.5,""
"","segregate","隔离 / 使分开","In the past","","2026-01-04",0,0,2.5,""
"","transformational","变革性的","The new leadership had a transformational effect on the company's culture.","","2026-01-04",0,0,2.5,""
"","jaded","厌倦 / 疲惫的","She felt jaded after years of working in the same repetitive job.","","2026-01-04",0,0,2.5,""
"","shuffle","洗牌 / 拖着脚走","The old man shuffled slowly across the room in his slippers.","","2026-01-04",0,0,2.5,""
"","patriarch ~ patriarchal ~ patriarchy","父权制 / 家长","The novel explores the difficulties of living in a strictly patriarchal society.","","2026-01-04",0,0,2.5,""
"","oppress ~ oppression","压迫","The regime was criticized for its efforts to oppress political dissidents.","","2026-01-04",0,0,2.5,""
"","repress","克制 / 镇压","He tried hard to repress a smile during the serious presentation.","","2026-01-04",0,0,2.5,""
"","postmodernism","后现代主义","The building is a famous example of postmodernism in modern architecture.","","2026-01-04",0,0,2.5,""
"","strike a chord with","引起共鸣","The singer's lyrics about loneliness strike a chord with many teenagers.","","2026-01-04",0,0,2.5,""
"","sit up","坐起来 / 引起注意","The news of the discovery made the whole scientific world sit up.","","2026-01-04",0,0,2.5,""
"","blasé","无动于衷的 / 玩世不恭的","He was quite blasé about his success","","2026-01-04",0,0,2.5,""
"","literati","文人 / 知识界","The book launch was attended by the local literati and famous artists.","","2026-01-04",0,0,2.5,""
"","self-conscious","过于意识到自我的","He felt very self-conscious about the stain on his tie during the interview.","","2026-01-04",0,0,2.5,""
"","parody ~ parodic","模仿 / 恶搞","The movie is a hilarious parody of classic detective films.","","2026-01-04",0,0,2.5,""
"","menacing","威胁的 / 险恶的","There was a menacing tone in his voice when he made the demand.","","2026-01-04",0,0,2.5,""
"","ascend ~ ascent ~ ascendance","上升 / 攀登 / 支配","The hikers began their long ascent up the mountain at dawn.","","2026-01-04",0,0,2.5,""
"","come up with","想出 / 提出","She came up with a brilliant solution to the technical problem.","","2026-01-04",0,0,2.5,""
"","reticent","沉默的 / 寡言的","He is very reticent about his private life and rarely talks about his family.","","2026-01-04",0,0,2.5,""
"","speak to (a subject)","与……相关 / 探讨","The recent data speaks to the urgent need for better environmental laws.","","2026-01-04",0,0,2.5,""
"","critic ~ critique ~ criticism","评论 / 批评","The film critic praised the director's bold new vision.","","2026-01-04",0,0,2.5,""
"","overturn","推翻 / 颠覆","The Supreme Court eventually overturned the controversial ruling.","","2026-01-04",0,0,2.5,""
"","topple","使倾倒 / 推翻","The protesters gathered in the square to topple the statue of the dictator.","","2026-01-04",0,0,2.5,""
"","take to (the street)","走上街头","Thousands of people took to the streets to protest the unfair tax.","","2026-01-04",0,0,2.5,""
"","without so much as","连……都没有","He left the party without so much as a goodbye to the host.","","2026-01-04",0,0,2.5,""
"","rationale","基本原理 / 根本原因","What is the rationale behind the company's decision to move its factory?","","2026-01-04",0,0,2.5,""
"","sign away","签署放弃","He signed away his rights to the invention for a small sum of money.","","2026-01-04",0,0,2.5,""
"","desegregation","废除种族隔离","The city was a key battleground in the fight for school desegregation.","","2026-01-04",0,0,2.5,""
"","sit back","靠后坐 / 袖手旁观","We cannot just sit back and watch while the environment is destroyed.","","2026-01-04",0,0,2.5,""
"","carnage","大屠杀 / 残杀","The scene of the car accident was one of terrible carnage.","","2026-01-04",0,0,2.5,""
"","sport (v.)","炫耀地穿着 / 穿戴","He was sporting a new designer watch that he bought in Paris.","","2026-01-04",0,0,2.5,""
"","petition","请愿书 / 请愿","The residents started a petition against the construction of the new mall.","","2026-01-04",0,0,2.5,""
"","overarching","包罗万象的 / 首要的","The overarching theme of the conference was global sustainability.","","2026-01-04",0,0,2.5,""
"","narcissism","自恋","Many experts worry that social media is fueling a rise in narcissism.","","2026-01-04",0,0,2.5,""
"","nihilism","虚无主义","The character's destructive behavior is driven by a sense of deep nihilism.","","2026-01-04",0,0,2.5,""
"","might as well","不妨 / 还是……好","Since we are already here","","2026-01-04",0,0,2.5,""
"","trite","陈旧的 / 平淡无味的","The plot of the movie was a bit trite and very predictable.","","2026-01-04",0,0,2.5,""
"","bland","平淡无味的 / 乏味的","The sauce was a bit bland and needed more spices to be interesting.","","2026-01-04",0,0,2.5,""
"","pastiche","模仿作品 / 拼凑物","The film is a clever pastiche of several 1950s sci-fi movies.","","2026-01-04",0,0,2.5,""
"","set in","固定 / 开始并持续","A feeling of deep disappointment began to set in after the loss.","","2026-01-04",0,0,2.5,""
"","envision","想象 / 展望","I can envision a world where technology solves most medical problems.","","2026-01-04",0,0,2.5,""
"","cliché","陈词滥调","It’s a cliché to say that ""hard work always pays off","","2026-01-04",0,0,2.5,""
"","perfunctory","草率的 / 敷衍的","He gave the guest a perfunctory nod before returning to his book.","","2026-01-04",0,0,2.5,""
"","culminate","达到顶点 / 以……告终","The months of training will culminate in the national championship.","","2026-01-04",0,0,2.5,""
"","speak our minds","直言不讳","We encourage all our employees to speak their minds during meetings.","","2026-01-04",0,0,2.5,""
"","agitate","鼓动 / 搅动 / 焦虑","The activists were agitating for better pay and safer working conditions.","","2026-01-04",0,0,2.5,""
"","nostalgic","怀旧的","Looking through my childhood photo album made me feel very nostalgic.","","2026-01-04",0,0,2.5,""
"","defunct","已经停用的 / 已死的","The old factory has been defunct for more than twenty years.","","2026-01-04",0,0,2.5,""
"","channel … into …","向……输送 / 引导","The government is channeling more resources into rural healthcare.","","2026-01-04",0,0,2.5,""
"","alternate ~ alternative","轮流的 / 替代的","We can take an alternative route if the highway is blocked.","","2026-01-04",0,0,2.5,""
"","radicalism","激进主义","The economic crisis led to a sudden rise in political radicalism.","","2026-01-04",0,0,2.5,""
"","come together","聚集 / 团结 / 成功","People from all over the country came together to support the cause.","","2026-01-04",0,0,2.5,""
